S.No,Product_name,Selling_price,Original_price,Ratings_count,Reviews_count,Display,Camera,Processor,Warranty,Battery,Info,RAM,ROM,Is_Expandable,Expandable_Upto,Colours,Discount,Warranty Status
77,Apple iPhone 6s,72000,,92796,9130,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor,Brand Warranty of 1 Year,,,,64 GB,No,,"Gold, Rose Gold, Silver, Space Grey",No discount,YES
78,Apple iPhone XS,134900,,11906,861,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,512 GB,No,,"Gold, Silver, Space Grey",No discount,YES
79,Apple iPhone 13 mini,74900,,3861,330,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Blue, Green, Midnight, Pink, Starlight",No discount,YES
80,Apple iPhone 13 mini,94900,,3861,330,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,512 GB,No,,"Blue, Green, Midnight, Pink, Starlight",No discount,YES
81,Apple iPhone 14 Plus,79900,,86856,4755,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Midnight, Purple, Starlight, Yellow",No discount,YES
82,Apple iPhone 13 Pro,119900,,1596,120,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Alpine Green, Gold, Graphite, Sierra Blue, Silver",No discount,YES
83,Apple iPhone 12,64900,,212326,13894,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,,,Ceramic Shield,,256 GB,No,,"Black, Blue, Green, Purple, Red, White",No discount,Warranty Not available
84,Apple iPhone 15 Plus,99900,,47571,2598,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,512 GB,No,,"Black, Blue, Green, Pink, Yellow",No discount,YES
85,Apple iPhone 11 Pro Max,150800,,1101,98,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,,,,512 GB,No,,"Midnight Green, Silver, Space Grey",No discount,YES
86,Apple iPhone 12 mini,64900,,130809,10152,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,,,Ceramic Shield,,128 GB,No,,"Black, Blue, Green, Purple, Red, White",No discount,Warranty Not available
87,Apple iPhone 13 Pro Max,139900,,2088,192,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Alpine Green, Gold, Graphite, Sierra Blue, Silver",No discount,YES
88,Apple iPhone 13 Pro Max,129900,,2088,192,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Alpine Green, Gold, Graphite, Sierra Blue, Silver",No discount,YES
89,Apple iPhone 11 Pro Max,131900,,1101,98,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,,,,256 GB,No,,"Gold, Midnight Green, Silver, Space Grey",No discount,YES
90,Apple iPhone 13 Pro,129900,,1596,120,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Alpine Green, Gold, Graphite, Sierra Blue, Silver",No discount,YES
91,Apple iPhone 12 mini,59900,,130809,10152,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,,,Ceramic Shield,,64 GB,No,,"Black, Blue, Green, Purple, Red, White",No discount,Warranty Not available
92,Apple iPhone 12,54900,,212326,13894,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,,,Ceramic Shield,,128 GB,No,,"Black, Blue, Green, Purple, Red, White",No discount,Warranty Not available
93,Apple iPhone 15 Pro,144900,,3141,160,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Black Titanium, Blue Titanium, Natural Titanium, White Titanium",No discount,YES
94,Apple iPhone 7 Plus,42900,,29728,2964,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,,,,128 GB,No,,"Black, Gold, Jet Black, Red, Rose Gold, Silver",No discount,YES
95,Apple iPhone 11 Pro,140300,,8679,618,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,,,,512 GB,No,,"Gold, Midnight Green, Silver, Space Grey",No discount,YES
96,Apple iPhone 11 Pro,121300,,8679,618,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Gold, Midnight Green, Silver, Space Grey",No discount,YES
